term	sentence	label
mid	"It's decently mid, nothing groundbreaking though."	1
mid	"It's pretty mid, not the best but not the worst either."	1
mid	"I just watched that movie everyone was talking about, and honestly, it was so mid."	1
mid	"I tried out that new restaurant last night and the food was decent, but overall it was kinda mid."	1
mid	"My test scores were pretty mid this semester, I could have done better but at least I didn't fail."	1
mid	This semester has been super hectic; all my classes are fine individually but overall they're just so frustratingly mid when put together.	1
mid	"The food at that restaurant we went to was mediocre at best - totally mid experience overall. 10.Thinking about going to that theme park next weekend, but heard mixed reviews saying it might be a bit too 'mid' for the price."	1
mid	"I started a new show on Netflix, but it's been pretty mid so far."	1
mid	"I tried out the new burger place downtown and it was so mid, nothing special about it."	1
mid	I thought my test results would be great but they were just mid - not bad but not amazing either.	1
mid	"The food was so mid, like nothing special."	1
mid	"I went to see that new movie everyone is talking about, and honestly, it was just mid."	1
mid	I started watching that show everyone's talking about but it's honestly just mid for me.	1
mid	"Honestly, I think I'll do okay - probably somewhere in the mid range."	1
mid	I'm feeling pretty mid about the upcoming math test.	1
mid	"The weather forecast predicted sunny skies all week, so this rain is definitely throwing off my plans - talk about being super mid.”"	1
mid	"I got a haircut yesterday, and it turned out pretty mid; I'm not sure if I like it or not."	1
mid	"I bought those new sneakers everyone's been talking about, but to be honest, they're just mid in terms of comfort."	1
mid	"I just watched that new movie everyone's been talking about, and honestly, it was pretty mid."	1
mid	I'm feeling kind of mid about our upcoming school trip; I hope it turns out to be more fun than I expect.	1
mid	"I'm meeting up with some friends later, but the plans seem kinda mid right now."	1
mid	"I tried that new taco place downtown, and it was pretty mid - not amazing, but not terrible either."	1
mid	"I just watched that new movie everyone's talking about and honestly, it was pretty mid."	1
mid	I bought those trendy shoes online and they arrived yesterday... let's just say the quality is a little mid.	1
mid	"I went to that party last night and it was honestly just mid, nothing special."	1
mid	"My grade on the last exam was definitely mid, could have been better."	1
mid	"I thought the party would be fun but it ended up being super mid, just a bunch of people standing around chatting."	1
mid	"It was alright - music was ok, people were cool...overall just a bit mid though."	1
mid	"Trying out this new skincare routine hoping for amazing results, but so far it's been pretty dang *mid*."	1
mid	The party last weekend wasn't amazing or anything...it was just kinda mid.	1
mid	"My test score was just mid, not great but at least I passed."	1
mid	My current favorite TV show started off strong but has gotten really mid in the latest season.	1
mid	"I've been binge-watching this new show on Netflix, and honestly, it's just been a bit...mid for me."	1
mid	"Oh you know, just another typical Monday - definitely on the more mid side of things."	1
mid	"My new shoes came in the mail and they're kinda mid, not sure if I should keep them or return them."	1
mid	It's decently catchy but honestly kind of mid compared to their other hits.	1
mid	This weather is so annoyingly mid - can't decide if it wants to rain or shine!	1
mid	I have to work on this group project with some classmates I don't really know; it's gonna be super mid.	1
mid	I thought it started strong but got kinda mid towards the end.	1
mid	"I thought the new album from my favorite artist would be fire, but turns out it's just mid."	1
mid	"I thought about joining that club at school, but after attending a meeting it seemed pretty mid so I decided against it."	1
mid	My exam results came in today and they were totally mid - gotta step up my game next time.	1
mid	My morning workout today was super mid; I couldn't find any motivation to push through the reps.	1
mid	"My lunch today was so mediocre, definitely falls into the mid category of food experiences."	1
mid	"Dude, I tried that new restaurant downtown and the food was definitely mid, like not terrible but nothing special."	1
mid	"Honestly, I'm feeling pretty mid about this upcoming math test; I don't think I studied enough."	1
mid	My outfit today is just feeling kind of mid - like not amazing but not terrible either.	1
mid	"I thought about going to the gym today, but I'm feeling pretty mid in terms of motivation."	1
mid	My friend dragged me to this art exhibit yesterday and honestly most of the pieces were pretty mid in terms of creativity.	1
mid	"My friend set me up on a blind date and it was so awkward, definitely mid."	1
mid	"Mine's been pretty mid, nothing too eventful happening."	1
mid	"Ugh, my sleep schedule has been so messed up lately; I keep waking up in the middle of the night and feeling totally unrested in the morning - total opposite of feeling 'mid'."	1
mid	I'd rate this playlist a solid mid - some good songs mixed in with some not-so-great ones.	1
mid	"I ordered clothes online and when they arrived, they were just...mid quality, nothing like how they looked on the website"	1
mid	"Honestly, my mood today can be summed up as pretty much being totally 'mid' - not great or terrible, just there."	1
mid	Laura's birthday party last week was alright - definitely not lit but also not totally boring... just kind of mid overall.	1
