text,annotation,label
"Be careful with that bucket of water, don't let it drip onto your phone!","[('drip', 'LITERAL')]",0
"When we were moving my grandma's old furniture, we found a set of shook staves in the storage room.","[('shook', 'LITERAL')]",0
"Before going onstage for my performance today, I took a moment alone in my dressing room where everything was dimly-lit by string lights to calm down and collect myself before going out there.","[('dimly-lit', 'LITERAL')]",0
My mom makes the best homemade fries - perfectly crispy and just the right amount of salty.,"[('salty', 'LITERAL')]",0
"Whenever I eat popsicles, there's always that one friend who lets the juice drip all over their hands and clothes.","[('drip', 'LITERAL')]",0
The restaurant we went to last night had the most amazing seared scallops - perfectly seasoned with a deliciously salty crust.,"[('salty', 'LITERAL')]",0
"My mom makes the best cookies, they're perfectly sweet and salty at the same time.","[('salty', 'LITERAL')]",0
The fireworks on New Year's Eve were spectacular; each explosion momentarily lit up the sky in brilliant colors!,"[('lit', 'LITERAL')]",0
My brother always steals my favorite cap; he knows it annoys me!,"[('cap', 'LITERAL')]",0
We should plan a movie night and watch all our favorite films back-to-back right here in the mid of my living room.,"[('mid', 'LITERAL')]",0
Let's plan a movie night for this weekend or maybe even during the middle of next week if everyone is free!,"[('middle', 'LITERAL')]",0
"The delivery guy handed me a barrel in the shape of a coffee table, and I was so shook by its size!","[('shook', 'LITERAL')]",0
Grandma’s house always feels cozy with all of her carefully-lit lamps in every room 1.,"[('carefully-lit', 'LITERAL')]",0
Can you believe how much it's been dripping outside?,"[('dripping', 'LITERAL')]",0
I prefer my margaritas with a salty rim - it adds an interesting contrast to the drink.,"[('salty', 'LITERAL')]",0
I can't believe Sarah spent all that extra money on designer sneakers when the cheaper ones look just as good.,"[('extra', 'LITERAL')]",0
The earthquake last night was so intense; it shook every hogshead in our garage.,"[('shook', 'LITERAL')]",0
"Trucker Caps are good if it’s too hot and sunny outside,","[('caps', 'LITERAL')]",0
Did you see the cool embroidered design on Sarah's new cap?,"[('cap', 'LITERAL')]",0
I lit a scented candle in my room to create a cozy atmosphere while studying.,"[('lit', 'LITERAL')]",0
The actors put in so much effort and gave an extra special performance.,"[('extra', 'LITERAL')]",0
I love listening to the peaceful sound of rain drips hitting the roof before falling asleep.,"[('drips', 'LITERAL')]",0
I'm considering adding some extra flair to my dorm room decor with more string lights and tapestries.,"[('extra', 'LITERAL')]",0
Can you pass me some extra napkins?,"[('extra', 'LITERAL')]",0
Do you think it's weird if I wear my dad's old trucker cap?,"[('cap', 'LITERAL')]",0
Is it just me or does time seem to move slower during that awkward time between morning and afternoon called midevening?,"[('midevening', 'LITERAL')]",0
Remember when we all wore matching graduation caps?,"[('caps', 'LITERAL')]",0
Why do you always put on so much extra makeup before going out?,"[('extra', 'LITERAL')]",0
Remember when we accidentally lit the wrong end of the grill and had to start over?,"[('lit', 'LITERAL')]",0
Remember when we shook the hogshead of tennis balls onto the court by accident?,"[('shook', 'LITERAL')]",0
Sometimes I find myself daydreaming about summer vacation while stuck here in these chilly midterm weeks.”,"[('midterm', 'LITERAL')]",0
"Kyle thinks he needs to do all these extra workouts to get in shape, but honestly, he looks great already.","[('extra', 'LITERAL')]",0
"Don't forget to fix that gutter; otherwise, we'll have a constant drip by our front door whenever it rains!","[('drip', 'LITERAL')]",0
"My grandma's soup is always perfectly seasoned - not too spicy or too salty, just right.","[('salty', 'LITERAL')]",0
I can't believe how hard we shook that barrel to get all the apples out for cider making.,"[('shook', 'LITERAL')]",0
The mid-point of this book is so intense; I can't wait to see how it all unfolds.,"[('mid-point', 'LITERAL')]",0
We should definitely add some extra time to our study session tonight to make sure we're fully prepared for the exam.,"[('extra', 'LITERAL')]",0
Are you free to hang out during our mid-semester break?,"[('mid-semester', 'LITERAL')]",0
We lit sparklers on New Year's Eve to celebrate.,"[('lit', 'LITERAL')]",0
I can't believe my teacher assigned us this extra homework over the weekend.,"[('extra', 'LITERAL')]",0
Those girls over there are way too extra with their drama - every little thing becomes a big deal with them.,"[('extra', 'LITERAL')]",0
"I could go for a big bowl of ramen with all those delicious, salty toppings right now.","[('salty', 'LITERAL')]",0
"My friend lit up the bonfire at the beach party, and it was so cozy.","[('lit', 'LITERAL')]",0
My mom always reminds me to wear sunscreen and put on a cap when I'm out in the sun for too long.,"[('cap', 'LITERAL')]",0
I can't wait for mid-terms to be over so we can start planning our winter break trip!,"[('mid-terms', 'LITERAL')]",0
Does anyone else find that movie theater popcorn way too salty?,"[('salty', 'LITERAL')]",0
My dad's famous pasta sauce is just the right amount of savory and salty.,"[('salty', 'LITERAL')]",0
My dad likes his popcorn extra salty when we're at the movies.,"[('salty', 'LITERAL')]",0
I can't believe I got extra credit on that history test for including all those additional details in my essay.,"[('extra', 'LITERAL')]",0
"As we hiked up the mountain trail, we passed by a small waterfall with water cascading down in beautiful drips and splashes.","[('drips', 'LITERAL')]",0
"I prefer my popcorn at the movies extra salty, it just tastes better that way.","[('salty', 'LITERAL')]",0
My mom asked me to clean out our storage shed and move all the forgotten barrels to one corner - some of them were so dusty they shook up clouds of dirt when I touched them.,"[('shook', 'LITERAL')]",0
My little cousin looks adorable in her pink sun cap at the beach.,"[('cap', 'LITERAL')]",0
"Whenever I hear meltwater dripping from icicles in winter, it makes me think spring is right around the corner.","[('dripping', 'LITERAL')]",0
"We should order an extra-large pizza tonight while we binge-watch our favorite show, what do you guys think?","[('extra-large', 'LITERAL')]",0
"My birthday is coming up, and I'm planning a BBQ party in the mid afternoon at the park, you guys should come!","[('mid', 'LITERAL')]",0
"I accidentally spilled some juice on my white sneakers, leaving a small red drip on the side.","[('drip', 'LITERAL')]",0
The midterm exams are hitting us right in the middle of our busiest week!,"[('midterm', 'LITERAL')]",0
Let's meet in the mid-section of the library to study together for our upcoming exams.,"[('mid-section', 'LITERAL')]",0
"Let's plan a hike for this weekend, maybe something in the beautiful trails of a nearby national park around midspring!","[('midspring', 'LITERAL')]",0
I need a new cap for the game this weekend.,"[('cap', 'LITERAL')]",0
"The movie last night was good, but I thought it dragged a bit in the mid part.","[('mid', 'LITERAL')]",0
"sWhen we went camping last weekend, we roasted marshmallows over a fire that we had lit ourselves 10.","[('lit', 'LITERAL')]",0
I can't believe how heavy that barrel was when we shook it onto the truck for community service day.,"[('shook', 'LITERAL')]",0
We decorated our backyard with fairy lights for my birthday party; it looked so magical when everything was lit up.,"[('lit', 'LITERAL')]",0
My dad is being way too strict lately; he imposed an extra curfew on me during finals week!,"[('extra', 'LITERAL')]",0
"The earthquake was so powerful, it felt like someone was shaking me like a bunch of shooks.","[('shooks', 'LITERAL')]",0
It's so annoyingly extra sometimes.,"[('extra', 'LITERAL')]",0
I love collecting different caps from all the places I visit.,"[('caps', 'LITERAL')]",0
We all got soaked when someone accidentally shook their water bottle at lunch and it sprayed everywhere.,"[('shook', 'LITERAL')]",0
"The cooper skillfully assembled the different staves of wood to create a solid, shook barrel for storing wine.","[('shook', 'LITERAL')]",0
My little brother excitedly grabbed a maraca and enthusiastically shook it during music class at school.,"[('shook', 'LITERAL')]",0
High school dances always hit their peak in excitement during the mid dance floor jams!,"[('mid', 'LITERAL')]",0
Cap for those chilly days hanging outside.,"[('cap', 'LITERAL')]",0
Wearing a warm knitted cap in winter makes walking to class so much more bearable!,"[('cap', 'LITERAL')]",0
"During the earthquake, all the books on my shelf fell off and one of the shelves even broke apart - it was so intense, everything just shook!","[('shook', 'LITERAL')]",0
I lost my lucky cap that I always wear during exams - definitely need it back for finals week!,"[('cap', 'LITERAL')]",0
"I have my mid-semester exams next week, and I'm so nervous about them.","[('mid-semester', 'LITERAL')]",0
I can't believe how much the ground shook during that earthquake last night.,"[('shook', 'LITERAL')]",0
"The coffee pot was left on overnight, resulting in a slow drip of burnt coffee down the counter.","[('drip', 'LITERAL')]",0
"During the power outage, we had to use candles to keep our room lit.","[('lit', 'LITERAL')]",0
I think adding an extra touch of glitter to your makeup look would really make it pop for the party.,"[('extra', 'LITERAL')]",0
The delivery guy handled our package roughly and accidentally shook the fragile items inside.,"[('shook', 'LITERAL')]",0
"After painting my nails, I always wait for them to dry completely so that they don't accidentally drip or smudge.","[('drip', 'LITERAL')]",0
A trucker Cap can add some edge to your casual look.,"[('cap', 'LITERAL')]",0
"My grandma's famous chocolate chip cookies have a hint of sea salt on top, making them sweet and salty at the same time - so good!","[('salty', 'LITERAL')]",0
"In baking, it's important to balance sweet and salty flavors for the perfect cookie.","[('salty', 'LITERAL')]",0
Watching candle wax slowly melt and eventually start to form colorful drips down its side is oddly satisfying and mesmerizing for me.,"[('drips', 'LITERAL')]",0
"After painting my room, I didn't realize there was some leftover paint on the brush causing tiny drips on the floor.","[('drips', 'LITERAL')]",0
